;alias_libelle_noncontraint;uic_code
11;Aéroport Charles de Gaulle 1;SNCF:87271460
12;Aéroport Charles de Gaulle 2 TGV;SNCF:87271494
81;Annecy;SNCF:87746008
168;Avignon Centre;SNCF:87765008
169;Avignon TGV;SNCF:87318964
170;Avignon TGV terminal TER;SNCF:87981902
295;Béthune;SNCF:87342006
404;Brest;SNCF:87474007
453;Caen;SNCF:87444000
457;Calais;SNCF:87317263
682;Commercy;SNCF:87175257
684;Compiègne;SNCF:87276691
797;Dijon;SNCF:87713040
827;Douai;SNCF:87345009
833;Drancy;SNCF:87271403
841;Dunkerque;SNCF:87281006
1132;Haute Picardie TGV;SNCF:87313882
1199;Issy-les-Moulineaux;SNCF:87393074
1203;Ivry-sur-Seine;SNCF:87545301
1373;La Rochelle;SNCF:87485003
1500;Le Havre;SNCF:87413013
1505;Le Mans;SNCF:87396002
1549;Lens;SNCF:87345025
1636;Lille Europe;SNCF:87223263
1637;Lille Flandres;SNCF:87286005
1731;Lyon Part Dieu;SNCF:87723197
1732;Lyon Perrache;SNCF:87722025
1733;Lyon Saint-Exupéry TGV;SNCF:87762906
1814;Massiac - Blesle;SNCF:87734871
1817;Massy TGV;SNCF:87393702
1938;Montélimar;SNCF:87764001
2069;Nice;SNCF:87756056
2077;Nîmes;SNCF:87775007
2078;Nîmes Pont du Gard;SNCF:87703975
2175;Paris Est;SNCF:87113001
2177;Paris Gare de Lyon Hall 1 & 2;SNCF:87686006
2178;Paris Gare du Nord;SNCF:87271007
2183;Paris Montparnasse Hall 1 & 2;SNCF:87391003
2255;Poitiers;SNCF:87575001
2396;Rennes;SNCF:87471003
2414;Rivarennes;SNCF:87571653
2870;Strasbourg;SNCF:87212027
2942;Toulon;SNCF:87755009
3168;Volvic;SNCF:87641423
